station,rating
Rikuzentogura,3.8
Abukuma,3.9
Yanagawakibonomorikoenmae,3.1
Akita,4.0
Araya (Akita),3.4
Katsurane,3.9
Kamiiijima,3.3
Tsuchizaki,3.5
Ugoushijima,3.7
Yotsugoya,3.6
Oiwake (Akita),3.6
Obarino,2.7
Wada,3.9
Shimohama,3.6
Noshiro,3.6
Higashinoshiro,3.7
Mukainoshiro,4.8
Tomine,2.7
Kitanoshiro,5.0
Okubo (Akita),2.8
Futatsui,4.0
Kitakanaoka,4.2
Tsurugata,4.4
Yokote,3.8
Iizume,4.0
Gosannen,3.9
Yanagida,3.3
Daigo (Akita),4.0
Ainono,4.2
Hiraishi,4.3
Jumonji,3.7
Odate,3.9
Higashiodate,3.9
Shimokawazoi,2.4
Hayaguchi,3.7
Shirasawa (Akita),4.0
Otakionsen,4.6
Sawajiri,4.7
Junisho,4.4
Jinba,4.5
Ogita,4.0
Rikuchuosato,3.7
Wakimoto,3.1
Funakoshi,3.3
Hadachi,3.9
Oga,3.9
Yokobori,3.9
Yuzawa,4.2
Shimoyuzawa,3.4
Innai,3.8
Mitsuseki,3.6
Kamiyuzawa,3.0
Kazunohanawa,3.9
Towadaminami,3.6
Suehiro,4.0
Kurosawa (JR),3.8
Hachimantai,2.7
Yuzeonsen,3.8
Shibahira,3.7
Ugoiwaya,3.6
Ugohonjo,3.4
Iwakiminato,4.1
Michikawa,3.4
Ugokameda,4.0
Yakushidou (Akita),3.3
Koyoshi,3.3
Nishitakisawa,4.0
Kubota (Akita),3.9
Maego,4.2
Yashima,3.5
Yoshizawa,4.1
Nishime,3.0
Ayukawa,3.8
Kurosawa (Yurikogen),4.4
Ugoiizuka,3.0
Kamifutada,3.3
Detohama,3.8
Tenno,3.7
Futada,3.6
Omagari (Akita),3.8
Kitaomagari,3.0
Kariwano,3.7
Yariminai,2.8
Ugonagano,3.5
Ugoyotsuya,2.8
Uguisuno,2.6
Ugosakai,4.1
Mineyoshikawa,4.3
Jinguji,3.5
Takanosu,3.7
Arase,3.5
Aniai,4.4
Hitachinai,4.2
Kobuchi,2.9
Okuani,3.8
Animaeda,4.2
Maeyama,3.0
Yonaizawa,4.3
Katsurase,3.8
Aikawa,3.2
Onodai,4.0
Kamisugi,3.9
Maedaminami,4.3
Nukazawa,4.0
Ogata,3.6
Kisakata,3.8
Konoura,4.0
Nikaho,3.4
Kamihama,4.3
Kosagawa,3.2
Kakunodate,4.0
Ugoota,4.0
Tazawako,3.9
Shoden (Akita),4.0
Jindai (Akita),3.1
Saimyoji,4.3
Kamihinokinai,4.1
Yatsu,3.3
Matsuba,4.0
Moritake,3.5
Kado,3.3
Koikawa,4.2
Iwadate,3.7
Takinoma,4.2
Hachimori,4.3
Higashihachimori,4.3
Torigata,4.7
Sawame,3.6
Hachirogata,3.1
Ikawasakura,3.6
Dobukai,3.5
Akitashirakami,4.0
Okashinai,3.8
Ugonagatoro,3.3
Nishitakanosu,4.0
Sashimaki,3.7
Tozawa,3.9
Kitayamagata,3.5
Yamagata,3.6
Zao,3.4
Uzenchitose,3.4
Tateyama,4.1
Minamidewa,4.4
Urushiyama,3.2
Higashikanai,3.6
Takase (Yamagata),3.9
Uzen-yamabe,3.7
Mokichikinenkanmae,3.5
Uzennagasaki,3.4
Takatama,3.4
Yamadera,4.2
Yonezawa,3.7
Nishiyonezawa,3.3
Oitama,3.3
Minamiyonezawa,2.6
Sekine,3.3
Narushima (Yamagata),3.0
Chugun (Yamagata),3.6
Tsuruoka,3.8
Atsumionsen,4.1
Iragawa,3.0
Fujishima,3.8
Uzen-oyama,3.5
Koiwagawa,3.6
Uzenmizusawa,3.8
Kobato,3.0
Nezugaseki,3.8
Sanze,2.9
Karikawa,4.0
Nishibukuro,3.1
Sakata,3.7
Higashisakata,3.0
Sagoshi,3.4
Mototate,3.3
Amarume,3.7
Minamichokai,3.5
Kitaamarume,3.0
Minamino,4.0
Kiyokawa,3.8
Shinjo,3.8
Izumita,2.6
Funagata,3.7
Minamishinjo,3.1
Masukata,3.5
Sagae,3.6
Nishisagae,3.7
Aterazawa,3.7
Uzentakamatsu,3.9
Minamisagae,2.8
Shibahashi,4.3
Kaminoyamaonsen,3.5
Uzennakayama,3.9
Murayama (Yamagata),3.5
Sodesaki,3.3
Nagai,3.6
Minaminagai,3.6
Uzennarita,4.5
Shirousagi,3.8
Tokiniwa,4.0
Imaizumi,3.8
Ayamekoen,4.1
Nishiotsuka,4.4
Tendo,3.5
Midaregawa,4.0
Tendominami,3.9
Omoshiroyamakogen,3.9
Sakuranbohigashine,3.6
Jinmachi,3.5
Higashine,3.4
Ashisawa,3.2
Oishida,3.6
